City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,illizi,26.4833,8.4667,18.55,38,0,0.74,DZ,1741487083
127,la passe,45.5549,-0.8967,13.54,79,100,8.13,FR,1741487084
128,khandyga,62.6667,135.6,-25.17,88,15,0.81,RU,1741487086
129,basco,20.4487,121.9702,24.15,74,100,10.44,PH,1741487087
130,mar del plata,-38.0023,-57.5575,17.13,68,9,1.79,AR,1741486551
131,yeppoon,-23.1333,150.7333,31.62,63,5,6.33,AU,1741486870
132,san jose de jachal,-30.2406,-68.7469,16.32,39,8,2.48,AR,1741487090
133,bousso,10.4795,16.7117,26.29,18,74,2.24,TD,1741487091
134,marapanim,-0.7175,-47.6997,23.76,96,100,0.82,BR,1741487092
135,kruisfontein,-34.0033,24.7314,20.82,88,99,4.22,ZA,1741487093
136,saint-philippe,-21.3585,55.7679,26.47,81,40,5.06,RE,1741487094
137,saint-valery-en-caux,49.8667,0.7333,10.02,79,100,5.01,FR,1741487096
138,luderitz,-26.6481,15.1594,19.57,76,5,6.4,NA,1741487097
139,kodiak,57.79,-152.4072,3.73,65,100,5.66,US,1741487098
140,kunnattur,12.35,78.5167,21.18,66,17,0.1,IN,1741487099
141,san patricio,28.017,-97.5169,22.97,61,0,11.96,US,1741487100
142,uturoa,-16.7333,-151.4333,28.54,73,11,5.25,PF,1741487102
143,sarikei,2.1167,111.5167,29.26,73,63,1.14,MY,1741487103
144,wailua homesteads,22.0669,-159.378,25.44,73,20,7.72,US,1741487107
145,gaiman,-43.2897,-65.4929,10.11,56,3,4.36,AR,1741487108
146,bondoukou,8.0333,-2.8,24.67,84,100,1.87,CI,1741487109
147,vadso,70.0744,29.7487,-0.91,74,100,6.69,NO,1741487110
148,holualoa,19.6228,-155.9522,24.2,70,95,2.06,US,1741486816
149,dajal,29.5577,70.3762,19.29,24,4,3.67,PK,1741487112
150,dudinka,69.4058,86.1778,-35.32,99,17,1.71,RU,1741486996
151,isafjordur,66.0755,-23.124,-3.18,91,84,4.22,IS,1741487115
152,iqaluit,63.7506,-68.5145,-9.15,78,100,11.32,CA,1741487116
153,nurabad,34.0734,47.9725,1.52,99,100,2.14,IR,1741486919
154,souillac,-20.5167,57.5167,27.21,83,40,2.06,MU,1741487118
